Monday,4:15-5:00 pm,Arms & Abs,Irene
Monday,5:00-6:00 pm,Bars Bells & Body,Ryan & Colin
Monday,6:00-6:45 pm,BGT,Melissa
Monday,7:00-8:00 pm,Beach Body,Megan
Monday,8:00-9:00 pm,Zumba,Chelsea
Monday,9:00-10:00 pm,Yoga,Kelly
Tuesday,4:00-4:30 pm,Ultimate Abs,Becky
Tuesday,4:30-5:00 pm,Ultimate Abs,Becky
Tuesday,5:00-5:45 pm,Bootycamp,Sarah D.
Tuesday,6:00-7:00 pm,Yoga,Carissa
Tuesday,7:00-8:00 pm,Zumba,Sarah E.
Tuesday,8:00-9:00 pm,Kick Bootcamp,Mollie & Irene
Wednesday,5:00-6:00 pm,Beach Body,Melissa
Wednesday,6:00-6:45 pm,BGT,Megan
Wednesday,7:00-8:00 pm,PUMP,Kelsey
Wednesday,8:00-9:00 pm,Kick Bootcamp,Marissa
Thursday,8:00-9:00 am,Yoga,Kelly
Thursday,4:00-4:45 pm,Ultimate Abs,Katelyn
Thursday,5:00-5:45 pm,Bootycamp,Katelyn
Thursday,6:00-7:00 pm,Yoga,Carissa
Thursday,7:15-8:00 pm,BGT,Megan
Thursday,8:00-9:00 pm,Zumba,Sarah E.
Thursday,9:00-9:45 pm,Arms & Abs,Becky
Friday,2:00-3:00 pm,Beach Body,Sarah D.
Friday,3:00-4:00 pm,H.I.T.S.,Mollie & Kelly
Friday,4:00-5:00 pm,Yoga,Katy
Sunday,7:00-8:00 pm,Yoga,Katy
